Timestamp,accelX(g),accelY(g),accelZ(g),accelUserX(g),accelUserY(g),accelUserZ(g),Roll(rads),Pitch(rads),Yaw(rads)
04-May-2019 20:22:10.583, 0.0014,-0.9985,-0.0744,-0.0038,-0.0022,-0.0215, 0.1069, 1.5181,-0.0400
04-May-2019 20:22:10.680, 0.0090,-1.0004,-0.0722, 0.0041,-0.0020,-0.0166, 0.0879, 1.5149,-0.0235
04-May-2019 20:22:10.777, 0.0049,-0.9956,-0.0724, 0.0040,-0.0030,-0.0141, 0.0625, 1.5112, 0.0002
04-May-2019 20:22:10.875, 0.0069,-0.9696,-0.0527,-0.0009, 0.0233, 0.0253, 0.0730, 1.4936,-0.0100
04-May-2019 20:22:10.972, 0.0078,-0.9721,-0.1292,-0.0043, 0.0264, 0.0430, 0.0857, 1.4216,-0.0355
04-May-2019 20:22:11.069, 0.0432,-0.9692,-0.2632, 0.0232,-0.0037,-0.0274, 0.0917, 1.3295,-0.0515
04-May-2019 20:22:11.166, 0.0081,-0.9300,-0.3132,-0.0029, 0.0179, 0.0228, 0.0360, 1.2479,-0.0132
04-May-2019 20:22:11.264,-0.0046,-0.9021,-0.3600,-0.0039,-0.0091, 0.0087, 0.0074, 1.1698, 0.0150
04-May-2019 20:22:11.361,-0.0038,-0.8491,-0.4710,-0.0014, 0.0247, 0.0166,-0.0093, 1.0714, 0.0370
04-May-2019 20:22:11.459, 0.0012,-0.8120,-0.6060, 0.0057, 0.0048,-0.0367,-0.0055, 0.9650, 0.0373
04-May-2019 20:22:11.556, 0.0075,-0.7439,-0.6671,-0.0006,-0.0035, 0.0052, 0.0095, 0.8530, 0.0311
04-May-2019 20:22:11.654, 0.0072,-0.6526,-0.7467,-0.0033, 0.0154, 0.0108, 0.0152, 0.7430, 0.0337
04-May-2019 20:22:11.753, 0.0098,-0.5756,-0.8015, 0.0047, 0.0107, 0.0055, 0.0135, 0.6291, 0.0317
04-May-2019 20:22:11.849, 0.0304,-0.4471,-0.8699, 0.0000, 0.0180, 0.0045, 0.0171, 0.4950, 0.0261
04-May-2019 20:22:11.946, 0.0081,-0.3259,-0.9327, 0.0026, 0.0098, 0.0241, 0.0051, 0.3511, 0.0255
04-May-2019 20:22:12.043, 0.0026,-0.1854,-1.0255, 0.0029, 0.0217,-0.0370,-0.0004, 0.2175, 0.0275
04-May-2019 20:22:12.141, 0.0069,-0.1078,-1.0221,-0.0004, 0.0097,-0.0196, 0.0041, 0.1267, 0.0338
04-May-2019 20:22:12.239,-0.0003,-0.0467,-1.0238,-0.0065, 0.0123,-0.0169, 0.0070, 0.0740, 0.0397
04-May-2019 20:22:12.336, 0.0097,-0.0211,-1.0374, 0.0093, 0.0165,-0.0400, 0.0129, 0.0340, 0.0444
04-May-2019 20:22:12.433, 0.0149,-0.0052,-1.0235, 0.0023, 0.0145,-0.0302, 0.0183, 0.0209, 0.0466
04-May-2019 20:22:12.547, 0.0110,-0.0125,-1.0309,-0.0025, 0.0150,-0.0396, 0.0127, 0.0266, 0.0435
04-May-2019 20:22:12.628, 0.0097,-0.0418,-1.0405, 0.0018, 0.0249,-0.0523, 0.0072, 0.0608, 0.0346
04-May-2019 20:22:12.725, 0.0023,-0.1283,-1.0496,-0.0128, 0.0374,-0.0636, 0.0154, 0.1665, 0.0244
04-May-2019 20:22:12.823, 0.0125,-0.3052,-1.0175,-0.0029, 0.0525,-0.0668, 0.0197, 0.3350, 0.0033
04-May-2019 20:22:12.920, 0.0353,-0.4924,-0.8543,-0.0104, 0.0274,-0.0012, 0.0534, 0.5466,-0.0192
04-May-2019 20:22:13.017, 0.0629,-0.6399,-0.7206,-0.0052, 0.0533, 0.0332, 0.0915, 0.7173,-0.0243
04-May-2019 20:22:13.115, 0.0623,-0.7137,-0.6360,-0.0069, 0.0442, 0.0127, 0.1062, 0.8601,-0.0185
04-May-2019 20:22:13.212, 0.0421,-0.8210,-0.5472,-0.0323, 0.0315, 0.0086, 0.1178, 0.9821,-0.0182
04-May-2019 20:22:13.310, 0.0550,-0.8823,-0.4527,-0.0026,-0.0073,-0.0160, 0.1382, 1.0867,-0.0383
04-May-2019 20:22:13.407, 0.0639,-0.9135,-0.3714, 0.0106, 0.0208,-0.0011, 0.1689, 1.1817,-0.0701
04-May-2019 20:22:13.504, 0.0478,-0.9428,-0.2832,-0.0074, 0.0243, 0.0008, 0.1827, 1.2705,-0.0861
04-May-2019 20:22:13.602, 0.0333,-0.9667,-0.1898,-0.0115, 0.0144, 0.0055, 0.2173, 1.3702,-0.1218
04-May-2019 20:22:13.699, 0.0589,-0.9862,-0.0954, 0.0084, 0.0245, 0.0160, 0.3364, 1.4667,-0.2494
04-May-2019 20:22:13.797, 0.0080,-0.9769,-0.0244,-0.0044,-0.0156, 0.0309, 0.6969, 1.5322,-0.6205
04-May-2019 20:22:13.894, 0.0140,-1.0048,-0.0306,-0.0028,-0.0038,-0.0110, 0.7294, 1.5443,-0.6630
04-May-2019 20:22:13.992, 0.0086,-1.0042,-0.0488,-0.0036,-0.0003,-0.0255, 0.5696, 1.5452,-0.5140
04-May-2019 20:22:14.089, 0.0107,-1.0034,-0.0281,-0.0004,-0.0063,-0.0159, 0.5782, 1.5505,-0.5292
04-May-2019 20:22:14.186, 0.0032,-1.0047,-0.0260, 0.0009,-0.0023,-0.0172, 0.4949, 1.5566,-0.4477
04-May-2019 20:22:14.284, 0.0470,-0.9884,-0.0736, 0.0778,-0.0145,-0.0143, 0.2195, 1.5563,-0.1630
