Timestamp,Roll(rads),Pitch(rads),Yaw(rads)
04-May-2019 22:06:18.346, 0.8363, 1.5011,-0.9239
04-May-2019 22:06:18.348, 0.8363, 1.5011,-0.9239
04-May-2019 22:06:18.350, 0.8363, 1.5011,-0.9239
04-May-2019 22:06:18.351, 0.8331, 1.5012,-0.9209
04-May-2019 22:06:18.365, 0.8261, 1.5012,-0.9143
04-May-2019 22:06:18.384, 0.8124, 1.5010,-0.9011
04-May-2019 22:06:18.404, 0.8006, 1.5004,-0.8896
04-May-2019 22:06:18.423, 0.7889, 1.4992,-0.8785
04-May-2019 22:06:18.443, 0.7770, 1.4976,-0.8671
04-May-2019 22:06:18.462, 0.7711, 1.4965,-0.8616
04-May-2019 22:06:18.482, 0.7724, 1.4960,-0.8628
04-May-2019 22:06:18.501, 0.7718, 1.4953,-0.8614
04-May-2019 22:06:18.521, 0.7694, 1.4949,-0.8584
04-May-2019 22:06:18.540, 0.7673, 1.4948,-0.8562
04-May-2019 22:06:18.559, 0.7605, 1.4947,-0.8492
04-May-2019 22:06:18.579, 0.7473, 1.4941,-0.8357
04-May-2019 22:06:18.599, 0.7299, 1.4931,-0.8177
04-May-2019 22:06:18.618, 0.7114, 1.4922,-0.7986
04-May-2019 22:06:18.637, 0.6878, 1.4914,-0.7745
04-May-2019 22:06:18.657, 0.6612, 1.4903,-0.7477
04-May-2019 22:06:18.678, 0.6404, 1.4893,-0.7265
04-May-2019 22:06:18.697, 0.6270, 1.4885,-0.7121
04-May-2019 22:06:18.717, 0.6129, 1.4874,-0.6973
04-May-2019 22:06:18.735, 0.5958, 1.4858,-0.6806
04-May-2019 22:06:18.754, 0.5837, 1.4843,-0.6692
04-May-2019 22:06:18.774, 0.5693, 1.4819,-0.6555
04-May-2019 22:06:18.793, 0.5579, 1.4788,-0.6436
04-May-2019 22:06:18.813, 0.5474, 1.4751,-0.6321
04-May-2019 22:06:18.832, 0.5375, 1.4714,-0.6209
04-May-2019 22:06:18.852, 0.5240, 1.4677,-0.6070
04-May-2019 22:06:18.872, 0.5062, 1.4636,-0.5893
04-May-2019 22:06:18.891, 0.4876, 1.4593,-0.5712
04-May-2019 22:06:18.911, 0.4717, 1.4552,-0.5555
04-May-2019 22:06:18.930, 0.4606, 1.4520,-0.5444
04-May-2019 22:06:18.949, 0.4407, 1.4470,-0.5248
04-May-2019 22:06:18.968, 0.4183, 1.4417,-0.5028
04-May-2019 22:06:18.988, 0.4006, 1.4374,-0.4850
04-May-2019 22:06:19.007, 0.3890, 1.4341,-0.4723
04-May-2019 22:06:19.027, 0.3710, 1.4288,-0.4526
04-May-2019 22:06:19.047, 0.3493, 1.4215,-0.4285
04-May-2019 22:06:19.067, 0.3327, 1.4149,-0.4105
04-May-2019 22:06:19.086, 0.3208, 1.4099,-0.3986
04-May-2019 22:06:19.105, 0.3114, 1.4062,-0.3897
04-May-2019 22:06:19.124, 0.2964, 1.4006,-0.3756
04-May-2019 22:06:19.143, 0.2813, 1.3947,-0.3608
04-May-2019 22:06:19.163, 0.2678, 1.3889,-0.3473
04-May-2019 22:06:19.183, 0.2563, 1.3827,-0.3355
04-May-2019 22:06:19.202, 0.2444, 1.3766,-0.3237
04-May-2019 22:06:19.222, 0.2320, 1.3719,-0.3124
04-May-2019 22:06:19.241, 0.2204, 1.3686,-0.3031
04-May-2019 22:06:19.261, 0.2127, 1.3664,-0.2973
04-May-2019 22:06:19.280, 0.2049, 1.3628,-0.2907
04-May-2019 22:06:19.299, 0.1988, 1.3577,-0.2842
04-May-2019 22:06:19.319, 0.1918, 1.3509,-0.2764
04-May-2019 22:06:19.338, 0.1844, 1.3442,-0.2695
04-May-2019 22:06:19.357, 0.1775, 1.3384,-0.2641
04-May-2019 22:06:19.377, 0.1707, 1.3328,-0.2590
04-May-2019 22:06:19.398, 0.1639, 1.3262,-0.2538
04-May-2019 22:06:19.417, 0.1587, 1.3182,-0.2494
04-May-2019 22:06:19.437, 0.1571, 1.3098,-0.2473
04-May-2019 22:06:19.455, 0.1578, 1.3038,-0.2471
04-May-2019 22:06:19.474, 0.1603, 1.2962,-0.2478
04-May-2019 22:06:19.494, 0.1636, 1.2892,-0.2482
04-May-2019 22:06:19.513, 0.1654, 1.2835,-0.2477
04-May-2019 22:06:19.533, 0.1659, 1.2792,-0.2469
04-May-2019 22:06:19.552, 0.1657, 1.2754,-0.2459
04-May-2019 22:06:19.572, 0.1640, 1.2709,-0.2433
04-May-2019 22:06:19.591, 0.1613, 1.2644,-0.2397
04-May-2019 22:06:19.612, 0.1586, 1.2561,-0.2360
04-May-2019 22:06:19.630, 0.1571, 1.2473,-0.2330
04-May-2019 22:06:19.650, 0.1576, 1.2414,-0.2319
04-May-2019 22:06:19.669, 0.1590, 1.2343,-0.2307
04-May-2019 22:06:19.688, 0.1585, 1.2276,-0.2285
04-May-2019 22:06:19.708, 0.1553, 1.2219,-0.2254
04-May-2019 22:06:19.727, 0.1511, 1.2164,-0.2215
04-May-2019 22:06:19.747, 0.1477, 1.2108,-0.2178
04-May-2019 22:06:19.766, 0.1460, 1.2051,-0.2148
04-May-2019 22:06:19.787, 0.1447, 1.1990,-0.2119
04-May-2019 22:06:19.805, 0.1429, 1.1944,-0.2095
04-May-2019 22:06:19.825, 0.1396, 1.1887,-0.2066
04-May-2019 22:06:19.844, 0.1370, 1.1841,-0.2044
04-May-2019 22:06:19.864, 0.1348, 1.1801,-0.2026
04-May-2019 22:06:19.883, 0.1335, 1.1758,-0.2013
04-May-2019 22:06:19.902, 0.1330, 1.1711,-0.2004
04-May-2019 22:06:19.922, 0.1330, 1.1657,-0.1996
04-May-2019 22:06:19.941, 0.1332, 1.1601,-0.1992
04-May-2019 22:06:19.961, 0.1334, 1.1551,-0.1992
04-May-2019 22:06:19.982, 0.1343, 1.1507,-0.1996
04-May-2019 22:06:20.000, 0.1346, 1.1479,-0.1997
04-May-2019 22:06:20.020, 0.1346, 1.1446,-0.1998
04-May-2019 22:06:20.039, 0.1344, 1.1414,-0.1999
04-May-2019 22:06:20.058, 0.1339, 1.1379,-0.1994
04-May-2019 22:06:20.078, 0.1329, 1.1344,-0.1987
04-May-2019 22:06:20.097, 0.1318, 1.1311,-0.1978
04-May-2019 22:06:20.117, 0.1305, 1.1280,-0.1968
04-May-2019 22:06:20.137, 0.1292, 1.1246,-0.1959
04-May-2019 22:06:20.157, 0.1276, 1.1213,-0.1945
04-May-2019 22:06:20.175, 0.1262, 1.1183,-0.1929
04-May-2019 22:06:20.194, 0.1247, 1.1164,-0.1916
04-May-2019 22:06:20.214, 0.1225, 1.1139,-0.1896
04-May-2019 22:06:20.233, 0.1203, 1.1113,-0.1879
04-May-2019 22:06:20.253, 0.1183, 1.1088,-0.1863
04-May-2019 22:06:20.272, 0.1167, 1.1061,-0.1849
04-May-2019 22:06:20.292, 0.1152, 1.1033,-0.1836
